Formula,Smiles,EA (eV),IE (eV),Charge,Svg,Task Id,MW,Oxidation Hydrogen,Reduction Hydrogen,Oxidation Lithium,Reduction Lithium,Oxidation Magnesium,Reduction Magnesium,Point Group
H18 C13 O1,CO[C@@H]1CCCC[C@@H]1c1ccccc1,,,0,H18 C13 O1 - Open Babel Depiction                                              H H H H H H H H H H H H H H H H H H O   H18 C13 O1,mol-25337,190.281,434.477,,437.517,,436.847,,C1
H32 C19 O4,CC(C)(C)c1cc(c(cc1C(C)(C)C)OCOCCOC)OC,,,0,Multiple Molecules - Open Babel Depiction                                                               O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84671,324.455,3188.748,-1853.066,3191.788,-1850.026,3191.118,-1850.696,C1
H36 C21 O4,CC(C)(C)c1ccc(c(c1OCCOCCCOC)C(C)(C)C)OC,-0.506,,0,Multiple Molecules - Open Babel Depiction                                                                     O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-186902,352.508,,-3.546,,-0.506,,-1.176,C1
H6 C6 O1,c1ccc(cc1)O,-0.724,,0,H6 C6 O1 - Open Babel Depiction                    O H H H H H H   H6 C6 O1,mol-22825,94.111,218.319,-3.764,221.359,-0.724,220.689,-1.394,Cs
H6 C6 O2,c1cc(ccc1O)O,-0.676,,0,H6 C6 O2 - Open Babel Depiction                     O O H H H H H H   H6 C6 O2,mol-23889,110.111,260.992,-3.716,264.032,-0.676,263.362,-1.346,C2v
H12 C17 O2,c1(cc2c(cc1)C(=O)c1c(C2=O)c(ccc1)C)C=C,2.105,,0,Multiple Molecules - Open Babel Depiction                                               H H H H H H O O H H H H H H,mol-19474,248.276,,-0.935,,2.105,,1.435,Cs
H5 C2 O1,[O]CC,4.378,,0,Multiple Molecules - Open Babel Depiction             . O H H H H H,mol-58430,45.06,,,,,,,Cs
H16 C9 O1,C(C=C)C1(O)CCCCC1,-0.734,,0,Multiple Molecules - Open Babel Depiction                                O H H H H H H H H H H H H H H H H,mol-25172,140.223,,-3.774,,-0.734,,-1.404,C1
H16 C8 O1,CC[C@H]1CCCC[C@H]1O,,,0,H16 C8 O1 - Open Babel Depiction                              H H H H H H H H H H H H H H H H O   H16 C8 O1,mol-24756,128.212,292.451,-298.007,295.491,-294.967,294.821,-295.637,C1
H26 C21 O5,COCCOCCOc1c2CCCCc2c(c2ccccc2)c(c1O)O,-0.212,,0,Multiple Molecules - Open Babel Depiction                                                                 O O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-83210,358.428,,-3.252,,-0.212,,-0.882,C1
H30 C23 O6,COCCOCCOCCOc1c2CCCCc2c(c2ccccc2)c(c1O)O,,,0,Multiple Molecules - Open Babel Depiction                                                                        O O O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84662,402.481,,-378.952,,-375.912,,-376.582,C1
H26 C17 O7,COCCOCCOCCOc1c2CCCCc2c(c(c1O)O)O,-0.455,,0,Multiple Molecules - Open Babel Depiction                                                           O O O O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-118117,342.384,,-3.495,,-0.455,,-1.125,C1
H46 C26 O6,CC(C)(C)c1cc(c(c(c1)OCCOCCCOC)C(C)(C)C)OCCOCCCOC,-0.88,,0,Multiple Molecules - Open Babel Depiction                                                                                      O O O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-184034,227.32,,-3.92,,-0.88,,-1.55,C1
H32 C19 O4,CC(C)(C)c1ccc(c(c1C(C)(C)C)OC)OCOCCOC,,,0,Multiple Molecules - Open Babel Depiction                                                               O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84563,324.455,,1560.601,,1563.641,,1562.971,C1
H36 C21 O4,CC(C)(C)c1cc(cc(c1C(C)(C)C)OCCOCCCOC)OC,,,0,Multiple Molecules - Open Babel Depiction                                                                     O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-186890,352.508,,4646.845,,4649.885,,4649.215,C1
H32 C19 O4,CC(C)(C)c1cc(cc(c1C(C)(C)C)OCOCCOC)OC,,,0,Multiple Molecules - Open Babel Depiction                                                               O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84755,324.455,-2761.772,3762.29,-2758.732,3765.33,-2759.402,3764.66,C1
H34 C20 O5,CC(C)(C)c1ccc(c(c1OCOC)C(C)(C)C)OCOCCOC,-0.541,,0,Multiple Molecules - Open Babel Depiction                                                                   O O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84774,354.481,,-3.581,,-0.541,,-1.211,C1
H42 C24 O6,CC(C)(C)c1cc(cc(c1OCCOCCCOC)C(C)(C)C)OCOCCOC,-0.618,,0,Multiple Molecules - Open Babel Depiction                                                                                O O O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-184140,71.098,,-3.658,,-0.618,,-1.288,C1
H40 C23 O5,CC(C)(C)c1cc(c(cc1OCCOC)C(C)(C)C)OCCOCCCOC,-0.51,,0,Multiple Molecules - Open Babel Depiction                                                                            O O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-186904,396.561,,-3.55,,-0.51,,-1.18,C1
H38 C22 O6,CC(C)(C)c1cc(c(cc1OCOCCOC)OCOCCOC)C(C)(C)C,,,0,Multiple Molecules - Open Babel Depiction                                                                          O O O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-85048,199.267,,3902.445,,3905.485,,3904.815,C1
H36 C21 O4,CC(C)(C)c1cc(c(c(c1)OC)OCCOCCCOC)C(C)(C)C,-0.753,,0,Multiple Molecules - Open Babel Depiction                                                                     O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-186909,352.508,,-3.793,,-0.753,,-1.423,C1
H38 C22 O5,CC(C)(C)c1c(ccc(c1C(C)(C)C)OCOC)OCCOCCCOC,0.048,,0,Multiple Molecules - Open Babel Depiction                                                                         O O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-186910,382.534,,-2.992,,0.048,,-0.622,C1
H32 C20 O8,COCCOCCOCCOc1c2CCCCc2c(c(c1O)O)OCCOC,-0.475,,0,Multiple Molecules - Open Babel Depiction                                                                     O O O O O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84370,100.116,,-3.515,,-0.475,,-1.145,C1
H8 C6 O1,COC1=CC=CC1,-0.654,,0,H8 C6 O1 - Open Babel Depiction                     O H H H H H H H H   H8 C6 O1,mol-26513,96.127,221.206,-3.694,224.246,-0.654,223.576,-1.324,Cs
H10 C7 O1,CCC1=CC=C(C1)O,-0.647,,0,H10 C7 O1 - Open Babel Depiction                        H H H H H H H H H H O   H10 C7 O1,mol-26581,110.154,252.469,-3.687,255.509,-0.647,254.839,-1.317,C1
H6 C5 O2,C1=CC(=C(C1)O)O,-0.833,,0,H6 C5 O2 - Open Babel Depiction                   O O H H H H H H   H6 C5 O2,mol-26321,98.1,232.697,-3.873,235.737,-0.833,235.067,-1.503,Cs
H10 C7 O2,COC1=C(CC=C1)OC,-0.474,,0,H10 C7 O2 - Open Babel Depiction                         H H H H H H H H H H O O   H10 C7 O2,mol-26625,126.153,295.307,-3.514,298.347,-0.474,297.677,-1.144,C1
H8 C7 O1,C=CC1=C(C=CC1)O,0.14,,0,H8 C7 O1 - Open Babel Depiction                       O H H H H H H H H   H8 C7 O1,mol-26874,108.138,248.883,-2.9,251.923,0.14,251.253,-0.53,Cs
H8 C11 O4,c1ccc(cc1)C1=COC=C(C(=O)O)O1,0.885,,0,H8 C11 O4 - Open Babel Depiction                                  O H H H H H H H H O O O   H8 C11 O4,mol-39294,204.179,,-2.155,,0.885,,0.215,C1
H10 C8 O1,C=C[C@@H]1C=CC=C1OC,-0.453,,0,H10 C8 O1 - Open Babel Depiction                               H H H H H H H H H H O   H10 C8 O1,mol-25847,122.164,,-3.493,,-0.453,,-1.123,C1
H10 C7 O2,CO[C@H]1C=CC=C[C@@H]1O,,,0,H10 C7 O2 - Open Babel Depiction                               H H H H H H H H H H O O   H10 C7 O2,mol-24419,126.153,295.78,-299.252,298.82,-296.212,298.15,-296.882,C1
H12 C7 O3,C1CCC(CC1)(C(=O)O)O,-0.595,,0,H12 C7 O3 - Open Babel Depiction                           H H H H H H H H H H H H O O O   H12 C7 O3,mol-25419,144.168,344.097,-3.635,347.137,-0.595,346.467,-1.265,C1v
H10 C9 O2,C=C[C@H]1C=CC=C[C@@H]1C(=O)O,,,0,H10 C9 O2 - Open Babel Depiction                                   O H H H H H H H H H H O   H10 C9 O2,mol-23692,150.174,351.736,-354.7,354.776,-351.66,354.106,-352.33,C1
H10 C8 O2,CC[C@@H]1C=CC=C1C(=O)O,,,0,H10 C8 O2 - Open Babel Depiction                                H H H H H H H H H H O O   H10 C8 O2,mol-25910,138.164,324.465,-326.558,327.505,-323.518,326.835,-324.188,C1
H8 C7 O1,Cc1ccc(cc1)O,,,0,H8 C7 O1 - Open Babel Depiction                       O H H H H H H H H   H8 C7 O1,mol-24081,108.138,249.491,-254.347,252.531,-251.307,251.861,-251.977,Cs
H10 C8 O1,Cc1ccc(cc1)OC,,,0,H10 C8 O1 - Open Babel Depiction                          H H H H H H H H H H O   H10 C8 O1,mol-24117,122.164,280.739,-285.868,283.779,-282.828,283.109,-283.498,Cs
H8 C7 O2,COc1ccc(cc1)O,-0.713,,0,H8 C7 O2 - Open Babel Depiction                        O H H H H H H H H O   H8 C7 O2,mol-24120,124.137,292.266,-3.753,295.306,-0.713,294.636,-1.383,Cs
H10 C11 O1,c1ccc(cc1)C1=C(C=CC1)O,0.084,,0,H10 C11 O1 - Open Babel Depiction                                O H H H H H H H H H H   H10 C11 O1,mol-26033,158.197,363.712,-2.956,366.752,0.084,366.082,-0.586,Cs
H10 C7 O1,CC1=CC=C(C1)OC,-0.684,,0,H10 C7 O1 - Open Babel Depiction                        H H H H H H H H H H O   H10 C7 O1,mol-26630,110.154,252.391,-3.724,255.431,-0.684,254.761,-1.354,Cs
H10 C7 O1,CC1=C(C=CC1)OC,-0.584,,0,H10 C7 O1 - Open Babel Depiction                        H H H H H H H H H H O   H10 C7 O1,mol-26714,110.154,252.465,-3.624,255.505,-0.584,254.835,-1.254,Cs
H14 C7 O2,CO[C@H]1CCCC[C@@H]1O,,,0,H14 C7 O2 - Open Babel Depiction                                 H H H H H H H H H H H H H H O O   H14 C7 O2,mol-24604,130.185,304.025,-310.43,307.065,-307.39,306.395,-308.06,C1
H8 C8 O1,C#CC1=CC=C(C1)OC,0.267,,0,H8 C8 O1 - Open Babel Depiction                         O H H H H H H H H   H8 C8 O1,mol-27148,120.149,276.222,-2.773,279.262,0.267,278.592,-0.403,Cs
H12 C8 O1,CCC1=C(CC=C1)OC,-0.588,,0,H12 C8 O1 - Open Babel Depiction                           H H H H H H H H H H H H O   H12 C8 O1,mol-27155,124.18,,-3.628,,-0.588,,-1.258,C1
H12 C9 O1,CCc1ccc(cc1)OC,,,0,H12 C9 O1 - Open Babel Depiction                             H H H H H H H H H H H H O   H12 C9 O1,mol-24393,136.191,312.122,-317.276,315.162,-314.236,314.492,-314.906,C1
