Formula,Smiles,EA (eV),IE (eV),Charge,Svg,Task Id,MW,Oxidation Hydrogen,Reduction Hydrogen,Oxidation Lithium,Reduction Lithium,Oxidation Magnesium,Reduction Magnesium,Point Group
H22 C16 O2,C=Cc1c2CCCCc2c(c(c1O)O)C(C)(C)C,0.285,4.059,0,Multiple Molecules - Open Babel Depiction                                                  O O H H H H H H H H H H H H H H H H H H H H H H,mol-117420,123.172,1.019,-2.755,4.059,0.285,3.389,-0.385,C1
H14 C9 O1,CCC1=C(CC)OC=CC1,-0.88,4.061,0,H14 C9 O1 - Open Babel Depiction                              H H H H H H H H H H H H H H O   H14 C9 O1,mol-8152,138.207,1.021,-3.92,4.061,-0.88,3.391,-1.55,C1
H16 C12 O3,Cc1c2CCCCc2c(c(c1O)O)OC,-0.354,4.062,0,Multiple Molecules - Open Babel Depiction                                        O O O H H H H H H H H H H H H H H H H,mol-116847,208.254,1.022,-3.394,4.062,-0.354,3.392,-1.024,C1
H14 C17 O1,c1ccc(cc1)C1=COC=C(C1)c1ccccc1,0.364,4.062,0,H14 C17 O1 - Open Babel Depiction                                              H H H H H H H H H H H H H H O   H14 C17 O1,mol-8386,234.292,1.022,-2.676,4.062,0.364,3.392,-0.306,Cs
H28 C17 O3,CC(C)(C)c1cc(c(cc1OC)OCOC)C(C)(C)C,-0.783,4.064,0,Multiple Molecules - Open Babel Depiction                                                        O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-122288,280.402,1.024,-3.823,4.064,-0.783,3.394,-1.453,Cs
H14 C10 O3,c1(c(cc(cc1OC)C)OC)OC,-0.61,4.065,0,Multiple Molecules - Open Babel Depiction                                   O O O H H H H H H H H H H H H H H,mol-42959,182.216,1.025,-3.65,4.065,-0.61,3.395,-1.28,C1
H26 C16 O2,CC(C)(C)c1cc(cc(c1OC)C(C)(C)C)OC,-0.755,4.066,0,Multiple Molecules - Open Babel Depiction                                                    O O H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-120039,125.188,1.026,-3.795,4.066,-0.755,3.396,-1.425,C1
H10 C8 O1,C=CC1=C(C)OC=CC1,0.017,4.067,0,H10 C8 O1 - Open Babel Depiction                          H H H H H H H H H H O   H10 C8 O1,mol-13621,122.164,1.027,-3.023,4.067,0.017,3.397,-0.653,Cs
H6 C7 O2,C#CC1=COC(=CO1)C,0.394,4.067,0,H6 C7 O2 - Open Babel Depiction                       O O H H H H H H   H6 C7 O2,mol-39336,122.121,1.027,-2.646,4.067,0.394,3.397,-0.276,Cs
H30 C18 O4,CC(C)(C)c1cc(cc(c1C(C)(C)C)OCOC)OCOC,-0.345,4.067,0,Multiple Molecules - Open Babel Depiction                                                            O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84582,155.214,1.027,-3.385,4.067,-0.345,3.397,-1.015,C1
H34 C20 O4,CC(C)(C)c1cc(cc(c1OCCOC)C(C)(C)C)OCCOC,-0.734,4.069,0,Multiple Molecules - Open Babel Depiction                                                                  O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84620,169.241,1.029,-3.774,4.069,-0.734,3.399,-1.404,C1
H38 C22 O5,CC(C)(C)c1cc(c(cc1OCCOCCCOC)OCOC)C(C)(C)C,-0.919,4.069,0,Multiple Molecules - Open Babel Depiction                                                                         O O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-85117,382.534,1.029,-3.959,4.069,-0.919,3.399,-1.589,C1
H12 C8 O1,CCC1=C(C)OC=CC1,-0.796,4.07,0,H12 C8 O1 - Open Babel Depiction                           H H H H H H H H H H H H O   H12 C8 O1,mol-5643,124.18,1.03,-3.836,4.07,-0.796,3.4,-1.466,C1
H12 C14 O3,C(=C\c1ccc(cc1)O)\c1cc(O)cc(c1)O,0.632,4.076,0,Multiple Molecules - Open Babel Depiction                                          O O O H H H H H H H H H H H H,mol-35228,228.243,1.036,-2.408,4.076,0.632,3.406,-0.038,C1
H16 C18 O2,[C@]12(c3ccccc3)OO[C@](CC1)(C=C2)c1ccccc1,2.49,4.077,0,Multiple Molecules - Open Babel Depiction                                                             O O H H H H H H H H H H H H H H H H,mol-57998,132.159,1.037,-0.55,4.077,2.49,3.407,1.82,Cs
H6 C4 O2,[C@H]1(OC=CO1)C,-1.432,4.079,0,Multiple Molecules - Open Babel Depiction                  O O H H H H H H,mol-49753,43.045,1.039,-4.472,4.079,-1.432,3.409,-2.102,Cs
H10 C9 O1,C=CC1=C(C=C)OC=CC1,0.672,4.079,0,H10 C9 O1 - Open Babel Depiction                            H H H H H H H H H H O   H10 C9 O1,mol-8017,134.175,1.039,-2.368,4.079,0.672,3.409,0.002,Cs
H24 C16 O6,COCCOc1c2CCCCc2c(c(c1O)O)OCCOC,-0.441,4.079,0,Multiple Molecules - Open Babel Depiction                                                       O O O O O O H H H H H H H H H H H H H H H H H H H H H H H H,mol-117180,156.179,1.039,-3.481,4.079,-0.441,3.409,-1.111,C1
H10 C8 O2,O(C)c1ccc(cc1)OC,-0.536,4.08,0,Multiple Molecules - Open Babel Depiction                            O O H H H H H H H H H H,mol-22637,69.082,1.04,-3.576,4.08,-0.536,3.41,-1.206,C2h
H12 C8 O1,CCC1=C(C)CC=CO1,-0.825,4.08,0,H12 C8 O1 - Open Babel Depiction                           H H H H H H H H H H H H O   H12 C8 O1,mol-6534,124.18,1.04,-3.865,4.08,-0.825,3.41,-1.495,C1
H26 C16 O2,CC(C)(C)c1cc(c(c(c1)OC)OC)C(C)(C)C,-0.917,4.081,0,Multiple Molecules - Open Babel Depiction                                                    O O H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-118896,125.188,1.041,-3.957,4.081,-0.917,3.411,-1.587,C1
H12 C13 O1,C=CC1=C(CC=CO1)c1ccccc1,0.612,4.086,0,H12 C13 O1 - Open Babel Depiction                                     O H H H H H H H H H H H H   H12 C13 O1,mol-8296,184.234,1.046,-2.428,4.086,0.612,3.416,-0.058,C1
H16 C12 O2,CCc1c2CCCCc2cc(c1O)O,-0.407,4.089,0,Multiple Molecules - Open Babel Depiction                                       O O H H H H H H H H H H H H H H H H,mol-116512,96.127,1.049,-3.447,4.089,-0.407,3.419,-1.077,C1
H24 C16 O6,COCCOCCOc1c2CCCCc2c(c(c1O)O)OC,-0.449,4.09,0,Multiple Molecules - Open Babel Depiction                                                       O O O O O O H H H H H H H H H H H H H H H H H H H H H H H H,mol-117813,156.179,1.05,-3.489,4.09,-0.449,3.42,-1.119,C1
H34 C20 O5,CC(C)(C)c1cc(cc(c1C(C)(C)C)OCOC)OCOCCOC,-0.28,4.091,0,Multiple Molecules - Open Babel Depiction                                                                   O O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84643,354.481,1.051,-3.32,4.091,-0.28,3.421,-0.95,C1
H14 C9 O1,CCC1=COC=C(CC)C1,-0.805,4.092,0,H14 C9 O1 - Open Babel Depiction                              H H H H H H H H H H H H H H O   H14 C9 O1,mol-8102,138.207,1.052,-3.845,4.092,-0.805,3.422,-1.475,C2
H20 C18 O2,CCc1c2CCCCc2c(c2ccccc2)c(c1O)O,-0.059,4.094,0,Multiple Molecules - Open Babel Depiction                                                     O O H H H H H H H H H H H H H H H H H H H H,mol-117012,134.175,1.054,-3.099,4.094,-0.059,3.424,-0.729,C1
H18 C17 O2,Cc1c2CCCCc2c(c2ccccc2)c(c1O)O,-0.063,4.094,0,Multiple Molecules - Open Babel Depiction                                                  O O H H H H H H H H H H H H H H H H H H,mol-116899,254.324,1.054,-3.103,4.094,-0.063,3.424,-0.733,C1
H8 C5 O1,C(=C\C=C)/OC,-0.059,4.095,0,Multiple Molecules - Open Babel Depiction                    O H H H H H H H H,mol-55391,84.116,1.055,-3.099,4.095,-0.059,3.425,-0.729,C1
H24 C20 O2,CC(C)(C)c1c2CCCCc2c(c2ccccc2)c(c1O)O,-0.144,4.097,0,Multiple Molecules - Open Babel Depiction                                                           O O H H H H H H H H H H H H H H H H H H H H H H H H,mol-117696,148.202,1.057,-3.184,4.097,-0.144,3.427,-0.814,C1
H6 C8 O2,C#CC1=C(C=C)OC=CO1,0.863,4.097,0,H6 C8 O2 - Open Babel Depiction                         O O H H H H H H   H6 C8 O2,mol-39375,134.132,1.057,-2.177,4.097,0.863,3.427,0.193,C1
H28 C17 O3,CC(C)(C)c1cc(cc(c1OC)C(C)(C)C)OCOC,-0.623,4.098,0,Multiple Molecules - Open Babel Depiction                                                        O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-119204,280.402,1.058,-3.663,4.098,-0.623,3.428,-1.293,Cs
H28 C18 O2,CC(C)(C)C1(CCc2cc(c(cc2C1)O)O)C(C)(C)C,-0.516,4.098,0,Multiple Molecules - Open Babel Depiction                                                         O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-118052,138.207,1.058,-3.556,4.098,-0.516,3.428,-1.186,C1
H28 C17 O3,CC(C)(C)c1ccc(c(c1C(C)(C)C)OC)OCOC,-0.184,4.098,0,Multiple Molecules - Open Babel Depiction                                                        O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-110115,280.402,1.058,-3.224,4.098,-0.184,3.428,-0.854,C1
H12 C10 O4,C1CC(Cc2cc(c(cc12)O)O)(O)O,-0.372,4.1,0,Multiple Molecules - Open Babel Depiction                                   O O O O H H H H H H H H H H H H,mol-116585,98.1,1.06,-3.412,4.1,-0.372,3.43,-1.042,C1
H14 C17 O1,c1ccc(cc1)C1=COC(=CC1)c1ccccc1,0.343,4.1,0,H14 C17 O1 - Open Babel Depiction                                              H H H H H H H H H H H H H H O   H14 C17 O1,mol-8398,234.292,1.06,-2.697,4.1,0.343,3.43,-0.327,C1
H26 C17 O5,CCc1c2CCCCc2c(c(c1O)O)OCCOCCOC,-0.311,4.101,0,Multiple Molecules - Open Babel Depiction                                                         O O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-117599,310.385,1.061,-3.351,4.101,-0.311,3.431,-0.981,C1
H12 C8 O1,CCC1=COC=C(C)C1,-0.828,4.101,0,H12 C8 O1 - Open Babel Depiction                           H H H H H H H H H H H H O   H12 C8 O1,mol-5832,124.18,1.061,-3.868,4.101,-0.828,3.431,-1.498,C1
H20 C14 O2,CC(C)(C)c1c2CCCCc2cc(c1O)O,-0.334,4.102,0,Multiple Molecules - Open Babel Depiction                                             O O H H H H H H H H H H H H H H H H H H H H,mol-117160,110.154,1.062,-3.374,4.102,-0.334,3.432,-1.004,C1
H18 C13 O5,COCCOc1c2CCCCc2c(c(c1O)O)O,,4.102,0,Multiple Molecules - Open Babel Depiction                                             O O O O O H H H H H H H H H H H H H H H H H H,mol-117009,254.279,1.062,,4.102,,3.432,,C1
H14 C13 O1,CCC1=C(c2ccccc2)OC=CC1,0.038,4.103,0,H14 C13 O1 - Open Babel Depiction                                      H H H H H H H H H H H H H H O   H14 C13 O1,mol-8302,186.25,1.063,-3.002,4.103,0.038,3.433,-0.632,C1
H16 C13 O2,C=Cc1c2CCCCc2c(C)c(c1O)O,0.243,4.104,0,Multiple Molecules - Open Babel Depiction                                         O O H H H H H H H H H H H H H H H H,mol-116568,204.265,1.064,-2.797,4.104,0.243,3.434,-0.427,C1
H36 C21 O4,CC(C)(C)c1ccc(c(c1C(C)(C)C)OCCOCCCOC)OC,-0.299,4.105,0,Multiple Molecules - Open Babel Depiction                                                                     O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-186885,352.508,1.065,-3.339,4.105,-0.299,3.435,-0.969,C1
H20 C15 O4,C=Cc1c2CCCCc2c(c(c1O)O)OCCOC,0.286,4.105,0,Multiple Molecules - Open Babel Depiction                                                 O O O O H H H H H H H H H H H H H H H H H H H H,mol-116852,264.317,1.065,-2.754,4.105,0.286,3.435,-0.384,C1
H32 C19 O4,CC(C)(C)c1cc(c(cc1C(C)(C)C)OCOC)OCCOC,-0.787,4.107,0,Multiple Molecules - Open Babel Depiction                                                               O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84589,324.455,1.067,-3.827,4.107,-0.787,3.437,-1.457,C1
H14 C11 O2,Cc1c2CCCCc2cc(c1O)O,-0.432,4.107,0,Multiple Molecules - Open Babel Depiction                                    O O H H H H H H H H H H H H H H,mol-116641,178.228,1.067,-3.472,4.107,-0.432,3.437,-1.102,C1
H8 C7 O4,C1CC[C]C1.C(=O)=O.C(=O)=O,,4.112,0,Multiple Molecules - Open Babel Depiction                           .. O O O O H H H H H H H H,mol-108545,156.136,1.072,,4.112,,3.442,,C1
H30 C18 O4,CC(C)(C)c1cc(c(cc1C(C)(C)C)OCOC)OCOC,,4.112,0,Multiple Molecules - Open Babel Depiction                                                            O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84702,155.214,1.072,1704.432,4.112,1707.472,3.442,1706.802,C1
H14 C13 O1,CCC1=CCC=C(c2ccccc2)O1,0.182,4.112,0,H14 C13 O1 - Open Babel Depiction                                      H H H H H H H H H H H H H H O   H14 C13 O1,mol-8312,186.25,1.072,-2.858,4.112,0.182,3.442,-0.488,C1
H10 C7 O1,CC1=COC=C(C)C1,-1.219,4.112,0,H10 C7 O1 - Open Babel Depiction                        H H H H H H H H H H O   H10 C7 O1,mol-11929,110.154,1.072,-4.259,4.112,-1.219,3.442,-1.889,C2v
H6 C8 O2,C#CC1=COC=C(C=C)O1,0.475,4.115,0,H6 C8 O2 - Open Babel Depiction                         O O H H H H H H   H6 C8 O2,mol-39388,134.132,1.075,-2.565,4.115,0.475,3.445,-0.195,Cs
H12 C12 O1,CC1=COC(=CC1)c1ccccc1,0.179,4.116,0,H12 C12 O1 - Open Babel Depiction                                   O H H H H H H H H H H H H   H12 C12 O1,mol-12365,172.223,1.076,-2.861,4.116,0.179,3.446,-0.491,C1
H16 C16 O2,c1ccc(cc1)c1c2CCCCc2cc(c1O)O,-0.032,4.116,0,Multiple Molecules - Open Babel Depiction                                               O O H H H H H H H H H H H H H H H H,mol-116784,120.149,1.076,-3.072,4.116,-0.032,3.446,-0.702,C1
H12 C16 O1,c1(c2c(cc3c1cccc3)cccc2)C(=O)C,1.413,4.117,0,Multiple Molecules - Open Babel Depiction                                            O H H H H H H H H H H H H,mol-54787,220.266,1.077,-1.627,4.117,1.413,3.447,0.743,C1
H6 C8 O2,C#CC1=COC(=CO1)C=C,0.445,4.117,0,H6 C8 O2 - Open Babel Depiction                         O O H H H H H H   H6 C8 O2,mol-39376,134.132,1.077,-2.595,4.117,0.445,3.447,-0.225,Cs
H20 C14 O3,CC(C)(C)c1c2CCCCc2c(c(c1O)O)O,-0.047,4.118,0,Multiple Molecules - Open Babel Depiction                                              O O O H H H H H H H H H H H H H H H H H H H H,mol-116927,236.307,1.078,-3.087,4.118,-0.047,3.448,-0.717,C1
H10 C11 O1,c1ccc(cc1)C1=CC=C[C@@H]1O,0.906,4.119,0,Multiple Molecules - Open Babel Depiction                                 O H H H H H H H H H H,mol-101570,158.197,1.079,-2.134,4.119,0.906,3.449,0.236,C1
H14 C11 O3,Cc1c2CCCCc2c(c(c1O)O)O,-0.402,4.119,0,Multiple Molecules - Open Babel Depiction                                     O O O H H H H H H H H H H H H H H,mol-116589,194.227,1.079,-3.442,4.119,-0.402,3.449,-1.072,C1
H28 C17 O3,CC(C)(C)c1cc(c(c(c1)OC)OCOC)C(C)(C)C,-0.845,4.12,0,Multiple Molecules - Open Babel Depiction                                                        O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-110196,280.402,1.08,-3.885,4.12,-0.845,3.45,-1.515,C1
H20 C14 O2,CCC1(CC)CCc2cc(c(cc2C1)O)O,-0.543,4.12,0,Multiple Molecules - Open Babel Depiction                                             O O H H H H H H H H H H H H H H H H H H H H,mol-116998,110.154,1.08,-3.583,4.12,-0.543,3.45,-1.213,C1
H22 C15 O6,COCCOCCOc1c2CCCCc2c(c(c1O)O)O,-0.44,4.121,0,Multiple Molecules - Open Babel Depiction                                                    O O O O O O H H H H H H H H H H H H H H H H H H H H H H,mol-117230,298.332,1.081,-3.48,4.121,-0.44,3.451,-1.11,C1
H8 C8 O2,C#CC1=CCC=C(OC)O1,0.445,4.122,0,H8 C8 O2 - Open Babel Depiction                          O H H H H H H H H O   H8 C8 O2,mol-7734,136.148,1.082,-2.595,4.122,0.445,3.452,-0.225,C1
H10 C11 O1,c1ccc(cc1)C1=COC=CC1,0.18,4.122,0,H10 C11 O1 - Open Babel Depiction                                O H H H H H H H H H H   H10 C11 O1,mol-8394,158.197,1.082,-2.86,4.122,0.18,3.452,-0.49,C1
H22 C24 O2,Cc1cc(c2c(c1OC)cccc2)c1c2c(c(OC)c(cc2)C)ccc1,0.447,4.124,0,Multiple Molecules - Open Babel Depiction                                                                  O O H H H H H H H H H H H H H H H H H H H H H H,mol-38269,171.215,1.084,-2.593,4.124,0.447,3.454,-0.223,C1
H30 C18 O3,CC(C)(C)c1cc(cc(c1OCCOC)C(C)(C)C)OC,-0.655,4.124,0,Multiple Molecules - Open Babel Depiction                                                           O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84846,98.143,1.084,-3.695,4.124,-0.655,3.454,-1.325,C1
H10 C11 O1,c1ccc(cc1)[C@@H]1C=CC=C1O,-0.43,4.124,0,H10 C11 O1 - Open Babel Depiction                                O H H H H H H H H H H   H10 C11 O1,mol-25885,158.197,1.084,-3.47,4.124,-0.43,3.454,-1.1,C1
H10 C7 O2,COC1=CCC=C1OC,,4.125,0,H10 C7 O2 - Open Babel Depiction                         H H H H H H H H H H O O   H10 C7 O2,mol-26585,126.153,1.085,-300.983,4.125,-297.943,3.455,-298.613,Cs
H6 C7 O2,C#CC1=CCC(=CO1)O,0.387,4.126,0,H6 C7 O2 - Open Babel Depiction                       O O H H H H H H   H6 C7 O2,mol-12652,122.121,1.086,-2.653,4.126,0.387,3.456,-0.283,C1
H32 C19 O4,CC(C)(C)c1cc(cc(c1OCOC)C(C)(C)C)OCCOC,-0.701,4.126,0,Multiple Molecules - Open Babel Depiction                                                               O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84841,324.455,1.086,-3.741,4.126,-0.701,3.456,-1.371,C1
H10 C7 O2,CCC1=CCC=C(O)O1,-0.465,4.127,0,H10 C7 O2 - Open Babel Depiction                         H H H H H H H H H H O O   H10 C7 O2,mol-11923,126.153,1.087,-3.505,4.127,-0.465,3.457,-1.135,C1
H20 C14 O2,CCC1(CC)CCCc2cc(c(cc12)O)O,-0.473,4.128,0,Multiple Molecules - Open Babel Depiction                                             O O H H H H H H H H H H H H H H H H H H H H,mol-116876,110.154,1.088,-3.513,4.128,-0.473,3.458,-1.143,C1
H22 C15 O3,CC(C)(C)c1c2CCCCc2c(c(c1O)O)OC,-0.424,4.129,0,Multiple Molecules - Open Babel Depiction                                                 O O O H H H H H H H H H H H H H H H H H H H H H H,mol-118470,250.333,1.089,-3.464,4.129,-0.424,3.459,-1.094,C1
H16 C12 O2,CC1(C)CCc2cc(c(cc2C1)O)O,-0.573,4.129,0,Multiple Molecules - Open Babel Depiction                                       O O H H H H H H H H H H H H H H H H,mol-116775,96.127,1.089,-3.613,4.129,-0.573,3.459,-1.243,C1
H12 C8 O1,CCC1=COC(=CC1)C,-0.813,4.129,0,H12 C8 O1 - Open Babel Depiction                           H H H H H H H H H H H H O   H12 C8 O1,mol-5646,124.18,1.089,-3.853,4.129,-0.813,3.459,-1.483,C1
H28 C17 O3,CC(C)(C)c1ccc(c(c1C(C)(C)C)OCOC)OC,-0.213,4.129,0,Multiple Molecules - Open Babel Depiction                                                        O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-121094,280.402,1.089,-3.253,4.129,-0.213,3.459,-0.883,C1
H6 C6 O3,Oc1c(O)ccc(c1)O,-0.428,4.13,0,Multiple Molecules - Open Babel Depiction                       O O O H H H H H H,mol-30917,42.037,1.09,-3.468,4.13,-0.428,3.46,-1.098,Cs
H10 C8 O1,C=CC1=CCC(=CO1)C,0.189,4.13,0,H10 C8 O1 - Open Babel Depiction                          H H H H H H H H H H O   H10 C8 O1,mol-13614,122.164,1.09,-2.851,4.13,0.189,3.46,-0.481,Cs
H12 C13 O1,C=CC1=CCC(=CO1)c1ccccc1,0.274,4.13,0,H12 C13 O1 - Open Babel Depiction                                     O H H H H H H H H H H H H   H12 C13 O1,mol-8253,184.234,1.09,-2.766,4.13,0.274,3.46,-0.396,C1
H30 C19 O6,CCc1c2CCCCc2c(c(c1O)O)OCCOCCOCCOC,-0.327,4.131,0,Multiple Molecules - Open Babel Depiction                                                                O O O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-83329,354.438,1.091,-3.367,4.131,-0.327,3.461,-0.997,C1
H6 C7 O1,C#C[C@H]1C=CC=C1O,-0.002,4.133,0,Multiple Molecules - Open Babel Depiction                       O H H H H H H,mol-109640,106.122,1.093,-3.042,4.133,-0.002,3.463,-0.672,C1
H10 C7 O2,CCC1=COC(=CC1)O,-0.471,4.133,0,H10 C7 O2 - Open Babel Depiction                         H H H H H H H H H H O O   H10 C7 O2,mol-11917,126.153,1.093,-3.511,4.133,-0.471,3.463,-1.141,C1
H14 C9 O1,CCC1=CCC=C(CC)O1,-0.783,4.133,0,H14 C9 O1 - Open Babel Depiction                              H H H H H H H H H H H H H H O   H14 C9 O1,mol-8106,138.207,1.093,-3.823,4.133,-0.783,3.463,-1.453,C2
H32 C19 O4,CC(C)(C)c1ccc(c(c1C(C)(C)C)OCCOC)OCOC,-0.221,4.133,0,Multiple Molecules - Open Babel Depiction                                                               O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84561,324.455,1.093,-3.261,4.133,-0.221,3.463,-0.891,C1
H18 C14 O2,C=Cc1c2CCCCc2c(CC)c(c1O)O,0.093,4.134,0,Multiple Molecules - Open Babel Depiction                                            O O H H H H H H H H H H H H H H H H H H,mol-116945,109.146,1.094,-2.947,4.134,0.093,3.464,-0.577,C1
H16 C11 O3,[C@H](CCCC)(O)c1c(O)ccc(c1)O,-0.235,4.135,0,Multiple Molecules - Open Babel Depiction                                      O O O H H H H H H H H H H H H H H H H,mol-20506,196.243,1.095,-3.275,4.135,-0.235,3.465,-0.905,C1
H8 C6 O2,CC1=CCC=C(O)O1,-0.455,4.136,0,H8 C6 O2 - Open Babel Depiction                      O O H H H H H H H H   H8 C6 O2,mol-9686,112.127,1.096,-3.495,4.136,-0.455,3.466,-1.125,Cs
H36 C21 O5,CC(C)(C)c1ccc(c(c1C(C)(C)C)OCCOC)OCOCCOC,-0.228,4.136,0,Multiple Molecules - Open Babel Depiction                                                                      O O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84586,368.508,1.096,-3.268,4.136,-0.228,3.466,-0.898,C1
H36 C21 O5,CC(C)(C)c1cc(cc(c1OCOCCOC)C(C)(C)C)OCCOC,,4.139,0,Multiple Molecules - Open Babel Depiction                                                                      O O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84848,368.508,1.099,2614.454,4.139,2617.494,3.469,2616.824,C1
H32 C19 O4,CC(C)(C)c1cc(cc(c1OCCOC)C(C)(C)C)OCOC,-0.53,4.14,0,Multiple Molecules - Open Babel Depiction                                                               O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84600,324.455,1.1,-3.57,4.14,-0.53,3.47,-1.2,Cs
H42 C24 O6,CC(C)(C)c1cc(cc(c1OCOCCOC)C(C)(C)C)OCCOCCCOC,,4.141,0,Multiple Molecules - Open Babel Depiction                                                                                O O O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84633,71.098,1.101,,4.141,,3.471,,C1
H6 C7 O2,C#CC1=COC=C(C1)O,0.283,4.143,0,H6 C7 O2 - Open Babel Depiction                       O O H H H H H H   H6 C7 O2,mol-12630,122.121,1.103,-2.757,4.143,0.283,3.473,-0.387,Cs
H22 C15 O4,C(OC)(OC)[C@H]1c2c(cc(cc2OC)OC)CCC1,-0.81,4.145,0,Multiple Molecules - Open Babel Depiction                                                  O O O O H H H H H H H H H H H H H H H H H H H H H H,mol-33313,266.333,1.105,-3.85,4.145,-0.81,3.475,-1.48,C1
H12 C12 O2,COC1=COC=C[C@H]1c1ccccc1,-0.427,4.145,0,H12 C12 O2 - Open Babel Depiction                                    O H H H H H H H H H H H H O   H12 C12 O2,mol-12970,188.222,1.105,-3.467,4.145,-0.427,3.475,-1.097,C1
H16 C12 O2,CC1(C)CCCc2cc(c(cc12)O)O,-0.484,4.145,0,Multiple Molecules - Open Babel Depiction                                       O O H H H H H H H H H H H H H H H H,mol-116659,96.127,1.105,-3.524,4.145,-0.484,3.475,-1.154,C1
H34 C20 O5,CC(C)(C)c1ccc(c(c1C(C)(C)C)OCOCCOC)OCOC,-0.189,4.146,0,Multiple Molecules - Open Babel Depiction                                                                   O O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84614,354.481,1.106,-3.229,4.146,-0.189,3.476,-0.859,C1
H4 C3 O2,O1COC=C1,-1.118,4.149,0,Multiple Molecules - Open Babel Depiction               O O H H H H,mol-50653,72.063,1.109,-4.158,4.149,-1.118,3.479,-1.788,Cs
H12 C8 O1,CCC1=CCC=C(C)O1,-0.804,4.149,0,H12 C8 O1 - Open Babel Depiction                           H H H H H H H H H H H H O   H12 C8 O1,mol-6608,124.18,1.109,-3.844,4.149,-0.804,3.479,-1.474,C1
H18 C13 O3,CCc1c2CCCCc2c(c(c1O)O)OC,-0.494,4.149,0,Multiple Molecules - Open Babel Depiction                                           O O O H H H H H H H H H H H H H H H H H H,mol-116598,222.28,1.109,-3.534,4.149,-0.494,3.479,-1.164,C1
H24 C17 O5,C=Cc1c2CCCCc2c(c(c1O)O)OCCOCCOC,0.264,4.151,0,Multiple Molecules - Open Babel Depiction                                                        O O O O O H H H H H H H H H H H H H H H H H H H H H H H H,mol-117962,308.369,1.111,-2.776,4.151,0.264,3.481,-0.406,C1
H10 C8 O1,C=CC1=COC=C[C@H]1C,0.186,4.151,0,H10 C8 O1 - Open Babel Depiction                          H H H H H H H H H H O   H10 C8 O1,mol-13674,122.164,1.111,-2.854,4.151,0.186,3.481,-0.484,C1
H38 C22 O6,CC(C)(C)c1cc(cc(c1C(C)(C)C)OCOCCOC)OCOCCOC,-0.32,4.151,0,Multiple Molecules - Open Babel Depiction                                                                          O O O O O O H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H H,mol-84673,199.267,1.111,-3.36,4.151,-0.32,3.481,-0.99,C1
H16 C12 O3,CCc1c2CCCCc2c(c(c1O)O)O,-0.153,4.152,0,Multiple Molecules - Open Babel Depiction                                        O O O H H H H H H H H H H H H H H H H,mol-109732,208.254,1.112,-3.193,4.152,-0.153,3.482,-0.823,C1
H10 C8 O2,C=C[C@@H]1C=COC(=C1)OC,-0.309,4.153,0,H10 C8 O2 - Open Babel Depiction                                H H H H H H H H H H O O   H10 C8 O2,mol-13689,138.164,1.113,-3.349,4.153,-0.309,3.483,-0.979,C1
H14 C11 O3,COc1c2CCCCc2cc(c1O)O,-0.38,4.154,0,Multiple Molecules - Open Babel Depiction                                     O O O H H H H H H H H H H H H H H,mol-116541,194.227,1.114,-3.42,4.154,-0.38,3.484,-1.05,C1
H8 C7 O2,Cc1c(O)ccc(c1)O,-0.833,4.156,0,Multiple Molecules - Open Babel Depiction                         O O H H H H H H H H,mol-23560,124.137,1.116,-3.873,4.156,-0.833,3.486,-1.503,Cs
